,logIndex,transactionIndex,transactionHash,blockNumber,poolId,newOwner,previousOwner,slotId,gasUsed,gasPrice,ethSpent,depositSLP,rewardsFVTForSession
0,179.0,162.0,b'[\xe9\x99ta+\x06Wj\x9f\x16g\xf7\x14\xfaS\xe3?\xff\xbf\x15P\xe7\x8b\xees\x04\xf6#\xbc\x8bv',13178928,1.0,0x2000e0171c5E7b79b2f29068122CAE26012B02df,0x0000000000000000000000000000000000000000,30.0,159731.0,76100000000.0,0.0121555291,0.0,0.0
1,337.0,284.0,b'\xeac\xe1\xdb!\xa4%\xfd\xb0\xcb\xd4u\xda0_\x01l\xa8\x96\x82\xaf.\x8f\xd3s\\\xf9f7B\xde\x80',13178976,1.0,0x85670c918fd6A80bdc92202C59D20b6E0c01C7E9,0x0000000000000000000000000000000000000000,13.0,142631.0,102786306308.0,0.014660513655016348,0.0,0.0
2,244.0,219.0,"b'F7\r$C\x01\xbe\xc6\xc7\xa6\xfc,\xcd\x07&\xb1\x83\xfbv-\x10Nf\xe9A\xbe\x986;,\xde\xf0'",13179030,1.0,0x85670c918fd6A80bdc92202C59D20b6E0c01C7E9,0x0000000000000000000000000000000000000000,1.0,263039.0,117114089446.0,0.030805572973786394,400.00000000000006,0.0
3,68.0,65.0,b'v\x8at\xcc\xcc\xc2E=\xfd\xb2\xfa\xbd6T\xf0\x15V\x8b\x8a\x05\xb5\xb1(\xb7=\x91\xd0\x98t\xcaTo',13179108,1.0,0xfDC09C96E5B7EBe2F6C36E1bc0B6a6A8C6571C82,0x0000000000000000000000000000000000000000,11.0,228815.0,149713218125.0,0.034256630005271875,70.0,0.0
4,179.0,131.0,b':\x032\xba\x02\xfa\xa4\xf9\x98\xeb\x17\x90\x1b\xd0\xee\xfc\xac}R/\xaa\xe7\xc64\xf2\x9f\x84\xf9C\x15\xa9\xcc',13179791,1.0,0xd557D7443D50f2252f7074269303477C1DFD3451,0xfDC09C96E5B7EBe2F6C36E1bc0B6a6A8C6571C82,11.0,302248.0,204065712256.0,0.061678453397951488,100.00000000000001,405.32249151444
5,133.0,136.0,b'J$o\xbcBC\x0e\x83\xc7\x84\xd1\xe6\xa7\xb1\xbe\x01\xb7or\x98\x93\x93\x17\x0f\xa4\xe0\xa8\xfc\xaeb\x03M',13179839,1.0,0xd557D7443D50f2252f7074269303477C1DFD3451,0x0000000000000000000000000000000000000000,5.0,211751.0,184115013254.0,0.038986538171547754,271.4249502613086,0.0
6,503.0,529.0,b'\xb9}\xe2n\x1fk\x10\x0e&\x87\xed7A\xac\xd6;N\xdf!`\xcbA%\xbe.(\xef\x9b\t4\x1e$',13179973,1.0,0xfDC09C96E5B7EBe2F6C36E1bc0B6a6A8C6571C82,0x0000000000000000000000000000000000000000,3.0,211715.0,150512197843.0,0.031865689966330745,70.0,0.0
7,43.0,51.0,"b',\xc4\x1d\xf0\xd0y\xca\xf5f\rCU\x83\x84\xe5\xc0\xc0\xf7/t\xfd`\xa9\x03Y\x87\xb8\x01\xa0\x10w%'",13180347,1.0,0x0000000000000000000000000000000000000000,0xd557D7443D50f2252f7074269303477C1DFD3451,5.0,240648.0,174476726164.0,0.041987475197914272,0.0,297.5805430902
8,80.0,87.0,"b""\xe3w\xb9\xd3'\xec\x1e\xbb\x96\xf84\xb6\xfc7#\xaf\xeb\xb1\x8d\x90\xad\xa3\xed\x806KfE&\xd5\x97e""",13180366,1.0,0xd557D7443D50f2252f7074269303477C1DFD3451,0x0000000000000000000000000000000000000000,17.0,211739.0,147714153704.0,0.031276847191131256,50.00000000000001,0.0
9,141.0,157.0,b'\xc8\xa5\xa2\xe72#3 ~\x134\xe2BLZ\x16\xa0\x9e\xe6\xaa\xe2Tc\xafue<\x1cb\xbc\x82c',13180382,1.0,0xd557D7443D50f2252f7074269303477C1DFD3451,0x0000000000000000000000000000000000000000,47.0,211739.0,156675023450.0,0.03317421279027955,50.00000000000001,0.0
